amount,transaction_hour,distance_from_home_km,distance_from_last_transaction_km,online_transaction,international_transaction,merchant_risk_score,card_present,transaction_velocity,account_age_days,fraud
47.32,17,23.74,9.03,0,0,0.093,1,2,1515,0
143.07,20,24.62,1.58,0,0,0.223,1,1,59,0
10.09,10,15.6,10.97,0,0,0.129,1,1,1167,0
17.47,6,28.82,11.02,1,1,0.308,0,1,1231,0
13.11,13,5.02,10.16,0,0,0.16,1,2,1025,0
22.43,20,7.64,7.63,0,1,0.058,0,0,812,0
8.36,23,24.3,6.42,0,0,0.358,1,3,397,0
62.5,19,28.89,9.24,1,0,0.335,1,0,819,0
26.52,5,38.96,3.91,1,0,0.232,1,2,1267,0
7.61,4,51.18,28.11,0,0,0.219,1,1,348,0
11.99,13,8.78,13.24,0,0,0.045,0,3,30,0
45.31,9,5.95,12.01,1,0,0.239,1,3,635,0
76.56,14,33.02,22.62,1,0,0.337,1,1,649,0
243.89,22,11.44,3.32,1,0,0.407,0,1,30,0
610.25,13,16.13,5.41,1,0,0.18,1,0,564,0
50.12,8,30.6,4.93,1,0,0.177,1,1,1754,0
12.31,20,19.74,12.53,1,0,0.184,1,1,1428,0
3.93,10,28.14,3.17,1,0,0.081,1,0,1205,0
43.28,14,8.01,17.7,1,1,0.14,1,0,1044,0
14.69,3,21.58,12.2,1,1,0.311,0,2,30,1
21.86,12,21.23,4.61,1,1,0.143,1,2,1493,0
17.96,10,38.47,1.86,0,0,0.144,1,4,187,0
28.77,2,44.73,11.9,0,0,0.067,1,1,528,0
96.16,5,11.22,1.03,1,0,0.178,1,4,705,0
38.75,16,6.69,4.18,0,0,0.481,0,3,964,0
28.26,4,29.39,8.04,0,0,0.537,0,1,361,0
11.76,3,3.0,7.48,0,0,0.143,1,3,411,0
6.2,1,30.94,4.76,1,0,0.122,1,2,1372,0
20.36,0,32.72,16.81,0,0,0.124,0,1,1874,0
31.38,10,10.44,3.59,1,0,0.322,0,3,772,0
194.01,11,0.72,4.69,0,1,0.113,1,0,1281,0
37.72,14,35.29,9.98,1,0,0.165,0,3,801,0
88.48,13,46.97,10.01,1,0,0.241,0,4,1360,0
20.1,12,44.72,2.31,0,0,0.242,1,3,1165,0
10.13,23,45.76,9.55,1,0,0.122,0,3,1182,1
12.61,5,4.62,5.29,0,0,0.311,1,2,445,0
16.04,17,17.82,4.94,1,0,0.112,1,1,650,1
278.24,1,21.12,11.61,1,0,0.065,1,5,911,0
14.56,20,18.69,3.12,1,0,0.219,0,1,739,0
76.59,8,28.36,7.06,0,0,0.526,0,3,1191,0
13.42,8,6.27,8.47,1,1,0.297,0,1,40,0
84.06,3,2.9,11.76,0,0,0.223,1,2,1695,0
48.66,12,1.88,4.39,0,0,0.413,1,3,1656,0
28.31,9,35.84,13.99,0,0,0.078,0,3,1152,0
31.79,23,4.56,17.33,1,1,0.175,1,2,765,0
17.21,4,18.59,17.01,1,0,0.046,1,2,744,0
51.73,10,10.0,2.14,0,0,0.444,0,3,682,0
21.01,21,10.43,16.63,0,0,0.106,0,2,1104,0
9.72,19,14.34,17.22,0,0,0.235,1,2,647,0
9.23,18,10.84,32.61,1,0,0.323,0,0,672,0
39.35,12,2.91,2.51,1,0,0.372,0,2,77,1
160.63,20,14.35,25.54,0,0,0.319,1,2,939,0
38.86,5,8.18,0.99,0,0,0.307,1,1,743,0
29.41,19,7.79,17.71,1,0,0.319,1,1,1760,0
44.07,13,56.59,20.58,0,0,0.511,0,2,926,1
122.24,8,3.8,17.1,1,0,0.189,1,5,30,0
41.24,5,13.77,1.51,1,0,0.067,1,0,1108,0
21.96,12,19.9,24.27,0,0,0.135,1,0,1028,0
100.11,0,56.63,49.1,0,0,0.452,1,2,554,0
50.84,17,5.6,2.94,0,0,0.247,1,3,1914,0
153.82,5,43.08,6.63,1,0,0.21,0,1,1046,0
39.77,9,14.26,4.27,1,0,0.24,1,0,485,0
9.73,4,14.71,14.86,0,1,0.089,0,1,1585,0
8.43,11,27.12,5.7,1,1,0.115,0,1,986,0
172.59,8,47.95,15.61,1,0,0.129,1,2,835,0
185.61,4,10.77,7.62,0,0,0.239,1,2,586,0
27.67,21,21.1,10.07,0,0,0.212,0,1,769,0
22.57,18,18.87,8.84,0,0,0.163,0,0,152,0
142.8,9,18.15,1.04,0,0,0.079,0,2,743,0
10.95,1,30.71,9.62,1,0,0.073,0,3,406,0
13.53,20,8.74,1.58,0,0,0.141,1,7,1468,0
63.01,16,12.15,1.94,1,0,0.084,0,0,921,0
22.32,13,3.01,24.66,1,0,0.251,1,0,1650,0
32.95,14,25.53,14.6,1,0,0.366,0,2,1598,0
28.12,0,17.47,13.63,1,1,0.165,1,4,431,0
46.41,11,47.1,9.76,1,1,0.272,1,2,958,0
135.3,4,5.47,42.73,0,0,0.242,1,2,916,0
36.26,15,61.62,9.54,0,0,0.254,1,1,975,0
63.05,22,28.84,8.1,1,1,0.361,0,2,1468,0
4.26,12,27.91,7.84,1,0,0.268,1,2,860,0
31.54,14,9.78,21.57,1,0,0.062,1,3,956,0
14.25,16,13.24,9.13,1,1,0.269,0,2,924,0
9.79,22,11.39,11.63,0,0,0.424,1,1,916,0
13.76,0,41.2,22.9,0,0,0.081,1,3,419,0
23.71,7,2.45,13.91,1,0,0.188,1,1,616,0
82.76,6,14.95,18.66,0,0,0.239,1,4,30,0
8.79,17,16.03,4.24,1,0,0.162,0,2,1095,0
34.15,10,11.03,2.55,0,0,0.334,1,1,982,0
20.41,18,6.99,28.64,1,0,0.261,1,1,1021,0
23.86,11,1.05,18.16,0,0,0.412,1,1,1637,0
90.27,23,15.16,15.16,1,0,0.35,0,0,1221,0
56.72,18,25.47,12.33,1,0,0.528,0,2,1497,0
126.14,0,17.49,8.99,0,0,0.171,1,2,1439,0
28.37,23,7.0,4.41,1,0,0.212,1,2,1753,0
16.51,22,16.17,4.26,1,0,0.237,0,0,1545,0
26.47,1,47.51,2.49,0,0,0.373,0,1,480,0
42.2,9,9.11,1.61,1,0,0.355,0,1,1222,1
39.51,23,19.6,3.51,1,0,0.256,1,2,1251,0
11.2,20,21.85,6.28,0,0,0.199,1,1,1121,0
36.25,11,4.14,28.47,1,1,0.08,0,2,1915,0
41.61,13,12.71,1.52,1,0,0.152,0,2,1036,0
410.54,0,12.84,10.09,1,0,0.174,1,2,1195,0
216.34,13,16.93,30.62,1,0,0.295,1,1,879,0
14.11,15,40.21,21.44,1,0,0.291,0,3,819,0
24.84,8,5.26,9.18,0,0,0.377,1,1,737,0
7.66,7,42.02,4.57,0,0,0.235,0,2,458,0
18.34,19,26.95,0.66,1,1,0.296,0,0,1124,0
45.4,10,62.8,10.36,1,1,0.45,1,0,1760,0
110.59,6,1.62,16.28,0,0,0.414,1,1,822,0
15.97,8,87.11,4.69,0,0,0.499,0,2,1066,1
17.22,11,3.94,22.64,1,0,0.292,1,2,489,0
3.87,6,7.51,8.21,0,0,0.436,1,1,30,0
28.14,13,7.58,11.91,0,0,0.162,1,1,907,0
11.45,20,25.98,9.19,0,1,0.474,1,3,579,0
19.5,17,13.68,22.4,1,0,0.282,1,5,413,0
13.78,5,8.7,22.97,0,0,0.194,1,1,62,0
30.14,11,54.99,14.35,0,0,0.363,0,4,137,0
5.71,13,1.25,6.93,0,0,0.491,0,1,979,0
7.64,16,34.82,8.87,0,0,0.367,0,3,1846,0
278.45,18,15.72,44.15,1,1,0.61,0,1,629,1
9.14,11,8.55,32.0,1,1,0.084,1,1,1168,0
11.06,7,9.57,9.63,0,0,0.431,0,1,426,0
207.87,15,12.51,2.68,0,0,0.657,1,0,549,0
604.9,3,7.68,19.57,0,0,0.379,1,2,153,0
10.26,16,30.86,5.75,1,0,0.066,0,1,731,0
22.91,21,11.6,27.43,0,0,0.076,1,0,30,0
46.6,17,27.63,4.63,1,0,0.662,1,2,393,0
186.55,10,9.71,5.82,0,0,0.459,0,0,688,0
12.34,19,19.33,2.34,0,0,0.261,0,1,627,0
25.91,12,19.32,36.47,1,0,0.413,1,0,1109,0
72.05,12,16.79,3.35,1,1,0.37,1,1,1248,0
51.15,20,42.98,18.32,1,0,0.277,1,5,820,1
22.73,4,46.09,7.76,1,1,0.08,0,0,1438,0
28.97,18,29.66,5.91,1,0,0.139,1,1,30,0
8.37,16,36.95,5.57,0,0,0.218,1,1,1263,0
26.1,12,28.46,26.99,1,0,0.513,1,1,821,0
25.37,1,10.86,63.13,0,0,0.117,1,3,109,0
41.77,18,14.66,24.73,1,0,0.17,0,5,1302,0
19.0,5,1.63,0.98,1,0,0.399,1,1,1044,0
53.07,21,6.5,18.4,0,0,0.234,0,3,630,0
91.17,19,3.97,7.81,1,0,0.356,1,0,1421,0
38.68,8,8.48,8.28,1,1,0.345,1,2,919,0
47.08,10,20.58,11.09,0,1,0.064,0,1,1325,0
34.92,0,10.51,9.28,1,0,0.343,0,1,1078,0
33.12,11,31.97,14.39,1,0,0.864,1,3,346,0
16.09,1,6.77,7.47,0,0,0.089,0,4,72,0
45.44,23,26.66,19.96,1,0,0.171,1,0,351,0
30.05,15,6.17,9.92,1,0,0.464,1,4,1046,1
268.59,5,40.81,10.11,1,0,0.321,0,1,625,0
159.71,19,6.75,9.12,0,0,0.49,1,0,1073,0
48.71,0,23.74,18.34,0,0,0.1,1,0,616,0
15.44,13,8.71,6.31,1,1,0.574,1,0,30,0
10.89,2,51.09,14.43,1,0,0.347,0,2,1115,0
108.98,1,49.59,10.38,1,0,0.389,1,1,1351,0
43.07,5,23.12,27.32,0,0,0.152,1,2,815,0
53.52,7,22.76,6.72,0,0,0.19,1,2,768,0
5.79,17,30.24,20.29,1,0,0.374,1,3,1373,0
83.72,21,26.32,12.33,1,0,0.12,1,4,1187,0
52.17,18,33.32,25.73,0,0,0.194,0,4,1530,0
10.91,17,6.6,10.07,0,0,0.181,1,0,1382,0
20.67,13,16.79,6.1,0,0,0.129,0,1,575,0
43.11,8,9.34,6.04,1,0,0.357,1,0,710,0
34.9,6,49.05,11.33,1,0,0.17,1,3,913,0
24.73,22,4.74,9.33,1,0,0.315,1,3,783,0
29.86,12,55.26,6.48,0,0,0.336,0,2,657,0
25.74,13,17.04,11.55,1,0,0.228,0,1,1147,0
38.57,0,33.7,0.21,1,0,0.005,0,2,992,0
144.24,10,10.42,7.9,0,0,0.645,1,1,640,0
2.54,16,4.31,9.62,0,0,0.187,0,2,356,0
26.13,11,47.68,1.33,0,0,0.283,1,3,994,0
39.51,14,24.75,3.11,0,0,0.305,1,1,590,0
44.52,19,5.23,3.35,0,0,0.075,1,3,626,0
22.83,0,15.22,8.87,1,0,0.125,1,5,485,0
5.72,21,14.26,7.36,1,0,0.443,0,3,707,0
45.97,19,24.09,7.46,0,1,0.366,0,2,611,0
186.3,10,6.57,1.36,1,0,0.057,1,2,1437,0
7.14,18,5.1,21.76,1,0,0.725,1,4,771,0
78.56,1,18.71,26.42,0,0,0.251,1,0,178,0
23.84,7,6.97,1.95,1,1,0.201,1,4,942,0
31.15,2,48.74,6.98,0,0,0.054,1,3,1499,0
11.55,15,31.34,7.3,1,0,0.076,1,1,857,0
23.7,20,30.65,13.2,0,0,0.258,0,0,806,0
121.52,14,1.58,6.02,0,0,0.073,0,0,83,0
59.3,17,10.81,20.14,0,0,0.428,1,1,809,0
187.23,3,12.93,2.85,1,0,0.268,0,0,557,0
107.49,22,5.89,16.36,1,0,0.228,1,0,30,0
51.37,4,26.39,12.86,0,0,0.322,1,1,379,0
189.41,12,23.73,2.27,1,0,0.112,1,1,1506,0
51.37,16,29.73,6.68,0,0,0.431,1,2,1366,0
75.79,20,36.42,2.61,1,0,0.347,0,0,1528,0
24.62,22,35.07,38.3,0,0,0.1,1,2,920,0
35.39,14,92.19,7.98,1,0,0.098,1,1,30,1
16.49,13,16.34,5.84,1,0,0.289,1,2,1044,0
89.08,10,14.07,1.04,1,0,0.09,1,1,2079,0
10.19,13,26.13,12.23,0,0,0.126,1,3,288,0
72.41,16,41.23,6.55,1,0,0.595,1,1,53,0
27.37,15,2.94,16.2,0,0,0.231,1,1,381,0
106.83,14,7.98,29.98,1,1,0.262,1,1,1204,0
70.17,10,9.87,18.1,0,0,0.356,1,1,30,0
204.52,4,17.75,3.15,1,0,0.243,0,0,1158,0
68.77,1,10.87,5.91,1,0,0.177,1,3,680,0
6.88,10,36.84,2.01,1,0,0.405,1,4,854,0
30.97,9,19.84,4.56,1,0,0.553,1,2,1128,0
10.26,14,15.07,21.01,0,0,0.068,1,0,708,0
19.72,21,23.9,4.93,1,0,0.489,0,0,831,0
150.09,16,1.95,16.35,0,0,0.451,1,3,921,0
62.65,19,23.0,5.56,1,0,0.186,1,2,1411,0
16.46,13,7.18,17.81,1,0,0.428,1,1,842,0
12.02,22,32.11,3.06,0,0,0.293,0,3,83,0
34.22,22,2.43,2.42,0,0,0.193,1,1,1036,0
9.81,3,25.15,38.04,1,0,0.252,1,2,1189,0
16.93,15,7.37,3.41,0,0,0.384,1,4,2107,0
45.24,12,41.84,21.43,0,0,0.153,1,1,982,0
105.14,23,3.25,14.17,0,1,0.095,1,2,1348,0
60.87,14,17.22,4.37,0,0,0.5,1,1,937,0
3.35,0,28.69,6.93,1,0,0.323,1,1,992,0
44.9,5,21.97,21.79,0,0,0.34,0,0,1535,0
35.59,3,21.86,5.79,0,0,0.256,1,3,1913,0
50.09,4,4.7,16.26,1,1,0.568,1,1,1172,0
166.7,2,4.36,12.74,0,0,0.489,1,0,1548,0
4.21,18,21.2,13.09,1,0,0.493,0,3,30,0
18.34,11,18.68,39.03,1,0,0.771,0,1,340,0
59.79,16,6.19,15.19,1,0,0.234,1,2,589,0
6.81,23,5.82,12.92,1,0,0.16,0,3,1090,0
144.89,15,15.27,1.05,1,0,0.262,1,2,358,0
47.86,11,11.91,26.38,0,0,0.313,0,0,673,0
77.21,6,61.28,18.16,1,0,0.372,0,2,953,0
18.71,18,43.64,12.5,1,0,0.167,1,2,1406,0
74.72,12,31.24,6.88,1,0,0.313,0,2,971,0
96.4,18,47.55,1.14,0,0,0.224,0,2,1228,0
41.8,0,9.21,14.89,1,0,0.414,1,1,792,0
41.86,3,10.55,9.46,0,0,0.097,1,2,602,1
43.39,3,39.16,36.83,1,0,0.07,1,4,1645,0
13.97,16,17.17,16.34,0,0,0.322,1,3,987,0
28.57,12,18.05,10.62,0,0,0.264,0,4,309,0
28.43,7,5.41,45.59,0,0,0.071,1,1,799,0
48.59,7,37.86,9.41,0,0,0.047,1,2,1401,0
90.0,14,26.08,34.46,0,0,0.299,1,0,236,0
11.49,23,13.16,0.78,1,0,0.183,1,2,422,0
29.22,23,10.62,52.34,1,0,0.11,0,3,383,1
145.69,11,42.36,21.69,1,0,0.376,1,1,1063,0
15.74,16,9.31,3.85,0,0,0.169,1,1,618,0
14.55,2,3.73,42.01,1,0,0.571,1,1,248,0
40.54,22,44.1,0.46,0,0,0.472,1,2,280,1
77.04,0,44.74,2.51,0,0,0.402,1,3,1439,0
33.5,8,9.28,14.47,1,0,0.42,1,0,886,0
125.08,17,69.67,26.52,1,0,0.362,0,1,1083,0
78.01,23,15.59,12.65,1,0,0.412,0,3,788,0
76.85,4,9.38,1.27,1,0,0.171,1,1,191,0
57.63,15,25.44,4.31,1,0,0.551,1,6,1266,1
339.56,4,4.57,5.67,1,1,0.339,1,1,607,0
26.97,1,6.92,13.92,1,0,0.204,1,1,1124,0
4.47,10,21.3,8.45,1,0,0.123,0,2,676,0
164.72,13,18.39,24.89,1,0,0.338,1,3,511,0
20.95,6,33.59,1.13,1,0,0.45,1,1,1098,0
36.89,23,5.35,16.42,0,0,0.345,1,3,661,0
122.68,14,61.58,2.54,1,0,0.399,1,2,1840,0
6.67,10,11.71,30.37,0,0,0.149,1,2,1483,0
9.47,11,17.85,16.59,1,0,0.499,0,3,227,0
6.68,11,11.23,8.46,1,0,0.119,1,1,943,0
14.97,2,4.53,6.62,1,0,0.444,0,2,774,0
51.4,14,16.3,13.37,1,0,0.47,0,1,543,0
55.93,18,28.4,24.28,0,0,0.245,1,1,446,0
43.65,10,14.31,12.8,0,1,0.28,0,4,673,0
8.06,10,7.71,8.41,1,0,0.175,0,1,1629,0
3.29,21,34.42,3.42,0,0,0.418,1,2,1121,0
34.97,14,35.39,8.05,0,0,0.13,1,4,942,0
20.66,7,13.68,24.42,0,0,0.312,0,0,226,0
52.43,0,22.36,18.78,1,0,0.222,1,2,30,0
66.82,19,34.24,27.09,1,0,0.323,1,2,369,0
38.02,15,28.16,3.2,1,1,0.489,1,3,1603,0
70.82,15,21.87,1.24,1,0,0.437,0,2,682,0
41.65,6,27.29,17.4,0,1,0.152,1,1,610,0
56.26,4,23.57,1.78,1,0,0.13,1,2,1261,0
16.37,11,17.08,27.06,1,0,0.213,1,1,915,0
27.67,18,5.23,17.87,0,0,0.617,1,5,523,0
40.32,7,6.64,12.46,1,0,0.273,1,2,1125,0
75.23,12,24.36,2.69,1,0,0.036,1,6,1167,0
22.34,23,11.13,9.5,1,0,0.415,1,1,2040,0
55.77,5,23.69,8.06,1,0,0.392,0,0,1553,0
25.39,5,5.09,12.95,1,0,0.225,1,3,724,0
29.44,5,8.42,33.73,0,0,0.166,1,0,894,0
75.91,21,14.31,3.27,1,0,0.01,1,4,243,0
4.51,12,1.16,6.88,0,0,0.232,0,1,796,0
9.06,22,7.4,8.64,1,0,0.131,1,2,1141,0
7.52,22,9.49,28.39,0,1,0.09,1,2,882,0
3.21,10,19.47,10.45,0,0,0.372,1,1,314,0
16.81,1,13.58,16.48,1,1,0.421,1,1,577,0
70.07,7,20.31,30.2,0,0,0.137,0,1,544,0
24.91,13,17.58,12.43,1,0,0.351,0,2,1199,0
40.36,9,13.1,6.97,1,0,0.123,0,2,1180,0
98.42,0,9.55,25.62,0,0,0.5,1,3,941,0
124.92,23,18.06,32.82,1,0,0.248,0,2,1140,0
30.9,7,41.28,15.42,0,0,0.423,0,2,747,0
128.2,14,9.5,4.81,1,0,0.284,1,1,463,0
36.31,22,59.84,6.29,1,0,0.122,1,1,775,0
14.33,13,18.34,32.56,1,0,0.284,0,1,944,0
18.28,16,32.35,17.82,0,0,0.166,1,1,1023,0
7.53,0,22.55,7.41,0,0,0.239,1,0,603,0
13.62,16,25.16,0.98,0,0,0.36,0,0,37,0
23.15,20,7.34,18.14,0,1,0.08,0,0,993,0
73.96,22,11.04,15.5,0,0,0.207,1,1,30,0
185.08,2,14.04,17.86,1,0,0.289,0,3,706,1
8.31,5,26.97,4.06,0,0,0.178,1,0,89,0
49.05,1,14.12,7.0,1,0,0.457,0,5,1440,0
11.7,22,33.67,23.06,1,0,0.482,1,4,1278,1
53.23,6,12.02,6.92,0,0,0.059,0,2,1317,0
29.05,12,8.95,1.57,0,0,0.446,1,3,273,0
5.31,11,10.63,3.51,1,0,0.108,0,0,156,0
83.79,16,28.95,20.37,1,1,0.333,0,3,1950,1
18.08,21,51.01,8.3,1,0,0.522,0,1,946,0
19.42,7,64.09,2.77,1,0,0.472,0,0,30,0
11.36,18,26.73,14.45,0,0,0.092,0,1,679,0
17.21,6,32.54,5.26,0,0,0.114,0,1,443,0
50.8,4,3.71,7.98,1,0,0.476,1,1,1251,0
27.41,2,4.97,11.25,1,0,0.116,0,2,326,0
46.0,8,7.66,27.21,1,0,0.259,0,2,637,0
47.56,13,43.07,11.25,1,1,0.26,1,5,1222,1
124.05,18,42.64,6.46,1,0,0.299,1,1,1004,0
23.51,20,74.13,13.77,0,0,0.259,0,3,659,0
7.56,12,7.49,14.56,1,0,0.385,0,0,348,0
96.28,9,15.48,5.86,0,0,0.342,1,3,1016,0
23.77,4,2.83,8.3,0,0,0.509,1,6,30,1
100.95,21,4.17,9.2,1,0,0.187,1,4,1053,0
48.59,9,13.06,23.72,1,0,0.207,1,0,900,0
29.05,18,7.81,0.24,1,0,0.171,1,3,720,0
46.94,15,7.9,13.12,0,0,0.3,0,3,381,0
232.99,22,9.9,19.17,1,0,0.093,1,2,1061,0
264.27,23,46.59,23.14,0,1,0.18,0,0,1007,1
35.49,16,37.13,1.4,0,0,0.67,0,1,451,0
